"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SMIM26",1.72625950878828e-11,0.346448349988091,0.183,0.133,6.4714016465455e-07
"ATP5F1B",1.96847679865537e-11,0.358235589465851,0.23,0.177,7.37942582279926e-07
"PRR13",2.03872999635105e-11,0.272511225598197,0.576,0.563,7.64279101032081e-07
"SIT1",2.59649436622302e-11,0.30816611831261,0.274,0.219,9.73373808009685e-07
"ARHGAP9",4.94954432890377e-11,0.291193009541698,0.288,0.232,1.85548517801944e-06
"ATP5MC3",7.57280378390207e-11,0.31073947538062,0.262,0.205,2.83889268250921e-06
"NCR3",9.21001859410254e-11,0.27588231082756,0.216,0.16,3.45265177055716e-06
"SLA",1.1849934086344e-10,0.277218457519404,0.137,0.093,4.44230329028865e-06
"ARHGAP45",1.51672276020317e-10,0.255742697383119,0.147,0.1,5.68589028344966e-06
"JMJD1C",2.26445452160519e-10,0.346039926702061,0.296,0.248,8.48898711059355e-06
"TRAF5",2.61392210677946e-10,0.271765432568515,0.231,0.178,9.79907119389484e-06
"ATP5IF1",5.98950975050558e-10,0.331696735482331,0.246,0.196,2.24534741526953e-05
"CXXC5",6.96188427835879e-10,0.291877474404902,0.325,0.279,2.60987117827114e-05
"ZNF331",8.34381550861079e-10,0.386508526207999,0.172,0.127,3.12792955786801e-05
"POLD4",8.54263744503418e-10,0.416165651339177,0.35,0.313,3.20246392539441e-05
"UBXN1",1.0171328317508e-09,0.289569259624856,0.552,0.544,3.8130275596674e-05
"KDM6B",1.11008285780753e-09,0.253857557527743,0.121,0.081,4.16147861734888e-05
"NR4A1",1.27349017886003e-09,0.333113637326668,0.145,0.104,4.77405998251048e-05
"RILPL2",2.03691558492252e-09,0.305564486026411,0.211,0.166,7.63598914475755e-05
"PTGES3",2.23008825078991e-09,0.294478424123283,0.493,0.487,8.3601548345612e-05
"RHOF",2.53259822811104e-09,0.300294895960171,0.304,0.257,9.49420423754268e-05
"ORAI2",2.988660384162e-09,0.2791555232015,0.397,0.362,0.000112038900481465
"AIM2",4.62309087302738e-09,0.293679385249387,0.239,0.193,0.00017331043064805
