"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"818","PB","GO:0019221","cytokine-mediated signaling pathway","18/163","492/18614",3.30209556142628e-07,3.00597215301451e-05,2.44433559385715e-05,"8519/9636/3429/3576/2207/6352/6772/10581/6351/10563/10410/3665/4599/2950/7114/3553/960/3458",18
"823","PB","GO:0050727","regulation of inflammatory response","16/163","414/18614",7.54625520562463e-07,5.88229602729411e-05,4.78324642452205e-05,"55829/6279/6280/6352/4818/3956/9021/8530/348/6223/2950/7114/3553/283131/3458/301",16
"825","PB","GO:0045862","positive regulation of proteolysis","15/163","365/18614",7.92088054702963e-07,5.88229602729411e-05,4.78324642452205e-05,"10399/6923/93974/29997/64115/6279/6280/11337/5721/348/3553/6281/387/3458/6613",15
"826","PB","GO:0097530","granulocyte migration","10/163","156/18614",1.17647645745806e-06,8.51286298191446e-05,6.92231761743202e-05,"58515/6279/6280/3576/2207/6352/6351/10563/3553/301",10
"827","PB","GO:0048525","negative regulation of viral process","8/163","90/18614",1.22710997893053e-06,8.65726090135489e-05,7.03973619491725e-05,"4061/8519/9636/6352/6772/10581/10410/4599",8
"832","PB","GO:0097250","mitochondrial respirasome assembly","4/163","11/18614",1.78282435111261e-06,0.000111802895974218,9.09136160333449e-05,"55969/647087/1347/192286",4
"834","PB","GO:0014002","astrocyte development","6/163","43/18614",1.91728811032963e-06,0.000115118873347877,9.36100353979527e-05,"6279/6280/7431/712/3553/3458",6
"838","PB","GO:0140888","interferon-mediated signaling pathway","8/163","100/18614",2.73574720781505e-06,0.000148961193478449,0.000121129248305799,"8519/9636/3429/6772/10581/10410/3665/3458",8
"839","PB","GO:0051238","sequestering of metal ion","5/163","26/18614",2.74485544325986e-06,0.000148961193478449,0.000121129248305799,"2512/2495/6279/6280/301",5
"840","PB","GO:0070486","leukocyte aggregation","4/163","13/18614",3.81025782699524e-06,0.000202878256373218,0.00016497243421747,"6279/6280/3553/960",4
