"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"33","DN","GO:0044548","S100 protein binding","3/120","14/18369",9.39027271420472e-05,0.00255102408735895,0.00218282655198618,"6277/6282/302",3
"35","DN","GO:0016209","antioxidant activity","5/120","82/18369",0.00019986844444579,0.00465407949209481,0.00398234118632588,"9403/51714/6415/55829/7295",5
"39","DN","GO:0043531","ADP binding","3/120","36/18369",0.00165879605626985,0.0299981322228042,0.025668405034043,"513/498/6890",3
"41","DN","GO:0047134","protein-disulfide reductase (NAD(P)) activity","2/120","10/18369",0.00184037620998799,0.0299981322228042,0.025668405034043,"51714/7295",2
"42","DN","GO:0008199","ferric iron binding","2/120","11/18369",0.00223975309323028,0.0333740044058653,0.0285570266953643,"2495/2512",2
"43","DN","GO:0008200","ion channel inhibitor activity","3/120","40/18369",0.00225223342616269,0.0333740044058653,0.0285570266953643,"10399/55013/801",3
"47","DN","GO:0001222","transcription corepressor binding","3/120","45/18369",0.00315903626814917,0.0396094547467934,0.0338924943748797,"6923/6921/6772",3
"49","DN","GO:0048020","CCR chemokine receptor binding","3/120","50/18369",0.00426146905159744,0.0496156753864559,0.0424544849125309,"6772/6352/10563",3
"50","GCB","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","12/51","18/18369",9.48746998299167e-28,1.51799519727867e-25,1.14848320846741e-25,"10632/514/521/522/9551/506/498/513/515/509/10476/539",12
"53","GCB","GO:0016874","ligase activity","13/51","165/18369",5.44206942633749e-16,2.176827770535e-14,1.64694206323371e-14,"10632/514/521/522/9551/506/498/513/515/509/10476/539/84532",13
"58","GCB","GO:0042288","MHC class I protein binding","2/51","19/18369",0.00125390709669603,0.0222916817190405,0.0168654170900635,"506/498",2
"59","GCB","GO:0019887","protein kinase regulator activity","4/51","184/18369",0.00168652989670212,0.0269844783472339,0.0204158882232362,"10399/9802/1654/5880",4
"60","GCB","GO:0008143","poly(A) binding","2/51","26/18369",0.00235375209888126,0.0342363941655456,0.0259025350594589,"5042/1654",2
"62","GCB","GO:0048019","receptor antagonist activity","2/51","31/18369",0.003337976281114,0.0406195336900792,0.0307318840418362,"100463486/100462977",2
