"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARHGDIA",8.63029605022437e-32,0.282160302213578,0.561,0.376,3.23532538330811e-27
"IL2RG",1.50819823047728e-31,0.340737686252325,0.549,0.369,5.65393352641321e-27
"SUMO2",1.55221895058326e-31,0.343280928796911,0.857,0.722,5.81895840194654e-27
"SERTAD1",1.79353122683168e-31,0.258195189783206,0.238,0.122,6.72358986314661e-27
"CCL4L2",2.71356545577668e-31,0.564495239230054,0.145,0.063,1.01726141806156e-26
"SEPT9",5.67483694256989e-31,0.256422561552573,0.627,0.426,2.1273828730306e-26
"PSME2",5.75505473887754e-31,0.30381162522031,0.677,0.492,2.15745492051041e-26
"PSMA5",9.17577693835193e-31,0.281486312941181,0.413,0.257,3.43981525864937e-26
"BUB3",9.88953180056503e-31,0.27797155366793,0.415,0.255,3.70738768139582e-26
"ARF5",1.63577668077309e-30,0.286508826084152,0.452,0.283,6.13219962088215e-26
"MAT2B",1.84938638390759e-30,0.260092019484722,0.348,0.203,6.93297967599277e-26
"IKZF3",3.07408544060946e-30,0.25302164283148,0.374,0.221,1.15241314997567e-25
"MRPL41",3.09266896178708e-30,0.305538143152715,0.399,0.252,1.15937974039474e-25
"TMCO1",3.26129767408911e-30,0.258788575243808,0.424,0.264,1.22259527206252e-25
"PGAM1",3.64878830108842e-30,0.345428799624302,0.514,0.348,1.36785775831203e-25
"HINT1",3.98841030739537e-30,0.29094001773366,0.891,0.797,1.49517525603638e-25
"RAC2",8.40823577080732e-30,0.339650184616085,0.857,0.716,3.15207942576025e-25
"PSMA7",2.16024940944481e-29,0.284659419951308,0.729,0.541,8.0983429861267e-25
"GNAI2",3.120212545121e-29,0.25919120487869,0.436,0.273,1.16970527891496e-24
"IVNS1ABP",5.40362370150716e-29,0.256456848730111,0.178,0.085,2.02571045322101e-24
"ERN1",6.33894289962682e-29,0.258971752067662,0.132,0.057,2.3763429142121e-24
"APOBEC3G",1.86972083069933e-28,0.351023062459945,0.38,0.238,7.00920945012563e-24
"STK17B",1.99818981098302e-28,0.284543683573824,0.68,0.49,7.49081396341315e-24
"ARHGDIB",2.46366556874569e-28,0.258716748156412,0.944,0.851,9.23578948411385e-24
"SYNRG",4.03843733756311e-28,0.258337734205893,0.275,0.154,1.51392938910566e-23
"GYG1",6.5251747017588e-28,0.29484290909528,0.18,0.09,2.44615749219534e-23
"UBL5",1.14247590297196e-27,0.335259275064764,0.788,0.634,4.28291366506127e-23
"COX8A",1.16134731696864e-27,0.297211457987009,0.708,0.52,4.35365882185204e-23
"C9orf16",1.60982173976565e-27,0.346417009007114,0.593,0.434,6.03489973803348e-23
"DNAJA1",1.82797804220978e-27,0.262731323384808,0.438,0.286,6.85272408463604e-23
"FAM96B",2.02167880109112e-27,0.250187907765932,0.488,0.324,7.57886948953039e-23
"TBC1D10C",2.97868708860991e-27,0.259667602957975,0.581,0.394,1.11665021577808e-22
"ITGB1BP1",3.24063975231407e-27,0.253685755429402,0.271,0.152,1.2148510303475e-22
"APRT",4.61832929173416e-27,0.310255725445322,0.727,0.56,1.7313192848853e-22
"CAPZB",5.05272669724878e-27,0.27189092837706,0.681,0.489,1.89416618426462e-22
"PARK7",5.3282909193486e-27,0.319552948094353,0.675,0.508,1.9974696998454e-22
"ATP1B3",1.29528049292348e-26,0.250412486001578,0.281,0.163,4.85574751187155e-22
"SKP1",6.29498134297678e-26,0.26951060350477,0.8,0.642,2.35986260585513e-21
"DHRS7",7.45550203852102e-26,0.25416013285429,0.369,0.236,2.79491860420076e-21
"UBE2L6",1.46562338262717e-25,0.289872455052285,0.452,0.304,5.49432893679274e-21
"REX1BD",1.63715388078531e-25,0.29891712881227,0.246,0.139,6.13736246828798e-21
"CYTIP",1.65631002510329e-25,0.260535745332585,0.621,0.458,6.20917502210721e-21
"PSMB8",1.69972685256686e-25,0.281424529685648,0.653,0.481,6.37193602490263e-21
"PSMB9",1.81409670155994e-25,0.293986307719971,0.792,0.617,6.80068571480789e-21
"SLC7A5",2.47818980186589e-25,0.254438668841588,0.126,0.057,9.29023792923485e-21
"ENO1",2.64004803475951e-25,0.299443577113381,0.698,0.525,9.89701207270646e-21
"RAP1B",6.0788145629137e-25,0.287815215735143,0.451,0.299,2.27882600334509e-20
"ATP5PD",1.30562688528641e-24,0.321613894373221,0.244,0.14,4.8945340675617e-20
"ATP5MG",1.38778925796568e-24,0.441600344957684,0.455,0.327,5.20254437026174e-20
"ATP5MD",1.41652468274255e-24,0.346682495993949,0.324,0.202,5.31026773066526e-20
"UGP2",1.47058410729756e-24,0.268296800302336,0.363,0.227,5.5129257014371e-20
"DYNLRB1",2.86390252278851e-24,0.275476778788102,0.484,0.335,1.07361977774296e-19
"GADD45A",3.4414461052849e-24,0.310623520147559,0.149,0.074,1.2901293159492e-19
"ATP5MC2",8.87691823072618e-24,0.476354957522897,0.461,0.335,3.32777910633463e-19
"RNF7",2.44629025997609e-23,0.255610532030356,0.424,0.284,9.17065292659837e-19
"NUCB2",3.93357228199768e-23,0.273609638632538,0.228,0.132,1.47461757707529e-18
"NDUFB2",5.91213580130207e-23,0.261262034065864,0.66,0.489,2.21634146919212e-18
"PPDPF",6.94116079243017e-23,0.278248723371086,0.866,0.744,2.60210235786622e-18
"RTRAF",7.27052475317685e-23,0.334545936900605,0.264,0.159,2.72557431947094e-18
"CLIC1",3.42288364625038e-22,0.298088067296184,0.866,0.731,1.28317062130634e-17
"ATP5F1C",3.6840310661687e-22,0.307214167629186,0.222,0.128,1.38106956608532e-17
"ATP5MC3",5.70288993071838e-22,0.328062647219746,0.321,0.204,2.13789937722771e-17
"BST2",6.27869755912955e-22,0.286292049726951,0.568,0.417,2.35375814096649e-17
"ATP5IF1",1.32225052361702e-20,0.325576591732485,0.302,0.194,4.95685276293548e-16
"RPS27L",1.85221379403369e-20,0.264007721951401,0.589,0.432,6.94357907107352e-16
"TRIR",2.1371687682298e-20,0.344872955901919,0.308,0.2,8.01181827833986e-16
"MTRNR2L1",2.15290850390582e-20,0.32748614506898,0.223,0.131,8.07082339944212e-16
